"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
"
North America
","13,485,182","+86,073","377,655",+629,"8,496,308","+36,836","4,611,219","24,665"
"
Asia
","15,161,091","+80,031","267,706","+1,452","13,537,281","+73,246","1,356,104","24,785"
"
South America
","10,359,430","+1,428","310,055",+52,"9,340,446","+1,676","708,929","17,453"
"
Europe
","14,148,227","+192,015","325,915","+3,208","5,253,183","+84,759","8,569,129","29,712"
"
Africa
","1,995,995","+8,263","47,698",+260,"1,678,793","+10,738","269,504","2,580"
"
Oceania
","42,143",+22,994,,"32,911",+8,"8,238",26
"

",721,,15,,659,,47,4
Uzbekistan,"70,299",+118,598 ,,"67,526",+80,"2,175",250
Myanmar,"70,161","+1,167","1,599 ",+22,"53,299",+948,"15,263",
Algeria,"68,589",+910,"2,168 ",+14,"45,148",+515,"21,273",50
Ireland,"68,356",+453,"1,984 ",+5,"23,364",,"43,008",33
Kyrgyzstan,"66,983",+479,"1,203 ",+4,"57,760",+439,"8,020",128
Nigeria,"65,148",,"1,163 ",,"61,073",,"2,912",10
Palestine,"63,867",+836,572  ,+7,"54,953",+607,"8,342",
Denmark,"63,331","+1,195",764 ,+4,"48,696",+949,"13,871",44
Singapore,"58,124",+5,28 ,,"58,033",+4,63,
Slovenia,"55,543",+501,831 ,+34,"35,387",+523,"19,325",207
Ghana,"50,123",,322 ,,"48,328",,"1,473",16
Malaysia,"48,520","+1,103",313 ,+4,"35,606",+821,"12,601",102
North Macedonia,"47,636",+586,"1,345 ",+40,"27,803",+439,"18,488",138
Afghanistan,"43,403",+163,"1,626 ",+9,"35,137",+45,"6,640",93
El Salvador,"36,669",+153,"1,047 ",+3,"33,064",+115,"2,558",46
Lithuania,"35,911","+1,152",285 ,+8,"7,882",+129,"27,744",87
Norway,"29,236",+270,294 ,,"19,025",,"9,917",32
S. Korea,"28,769",+223,494 ,+1,"25,759",+68,"2,516",55
Albania,"28,432",+602,631 ,+8,"13,453",+564,"14,348",17
Montenegro,"27,773",+596,396 ,+5,"17,862",+475,"9,515",31
Australia,"27,750",+22,907 ,,"25,498",+8,"1,345",
Luxembourg,"27,256",+164,236 ,+10,"17,734","+2,306","9,286",46
Cameroon,"22,692",,433 ,,"21,510",,749,41
Ivory Coast,"20,988",+12,128 ,,"20,663",+16,197,
Finland,"19,419",+104,371 ,+2,"14,000",,"5,048",13
Sri Lanka,"17,674",+387,58 ,,"11,806",+311,"5,810",
Madagascar,"17,310",,250 ,,"16,592",,468,16
Zambia,"17,187",+64,353 ,,"16,400",+263,434,
Uganda,"16,257",+237,150 ,+5,"8,170",+132,"7,937",
Senegal,"15,801",+8,329 ,+1,"15,421",+5,51,3
Sudan,"14,626",,"1,116 ",,"9,571",,"3,939",
Mozambique,"14,514",+66,116 ,+3,"12,599",+94,"1,799",
Namibia,"13,555",+47,138 ,,"12,843",+163,574,5
Angola,"13,451",,322 ,,"6,444",,"6,685",28
Guinea,"12,624",+13,75 ,,"11,270",+119,"1,279",24
Maldives,"12,314",+110,44 ,,"11,316",+27,954,12
DRC,"11,839",+79,321 ,+2,"11,124",+38,394,
French Polynesia,"11,706",,53 ,,"4,842",,"6,811",26
Tajikistan,"11,649",+39,85 ,,"11,019",+46,545,
French Guiana,"10,876",+32,70 ,,"9,995",,811,
Latvia,"10,636",+89,126 ,+3,"1,515",,"8,995",17
Jamaica,"9,929",+45,231 ,,"5,330",+82,"4,368",6
Cabo Verde,"9,822",,103 ,,"9,220",,499,23
Haiti,"9,168",,232 ,,"7,701",,"1,235",
Gabon,"9,062",,58 ,,"8,939",,65,7
Zimbabwe,"8,829",,257 ,,"8,096",,476,
Botswana,"8,225",,27 ,,"5,559",,"2,639",1
Malta,"8,137",+103,98 ,+1,"5,888",+123,"2,151",13
Guadeloupe,"8,098",,139 ,,"2,242",,"5,717",15
Mauritania,"7,952",,165 ,,"7,524",,263,4
Estonia,"7,848",+211,81 ,,"4,749",+8,"3,018",12
Cuba,"7,639",+49,131 ,,"7,078",+18,430,2
Bahamas,"7,186",,156 ,,"5,323",,"1,707",3
Cyprus,"7,178",,39 ,,"2,021",,"5,118",7
Réunion,"7,161",+280,31 ,+2,"5,928",,"1,202",17
Syria,"6,684",,345 ,,"2,714",,"3,625",
Eswatini,"6,095",,119 ,,"5,779",,197,11
Trinidad and Tobago,"6,080",,112 ,,"5,402",,566,3
Malawi,"5,971",+6,185 ,,"5,402",+3,384,4
Andorra,"5,914",+42,76 ,,"4,830",+83,"1,008",20
Nicaragua,"5,661",,158 ,,"4,225",,"1,278",
Djibouti,"5,649",,61 ,,"5,525",,63,
Congo,"5,515",,92 ,,"3,887",,"1,536",
Hong Kong,"5,467",+8,108 ,,"5,198",+4,161,7
Rwanda,"5,455",,45 ,,"4,995",,415,
Suriname,"5,274",,114 ,,"5,148",,12,5
Iceland,"5,205",+16,25 ,,"4,840",+27,340,3
Equatorial Guinea,"5,104",,85 ,,"4,973",,46,1
Mayotte,"4,943",+22,46 ,,"2,964",,"1,933",4
CAR,"4,900",,63 ,,"1,924",,"2,913",2
Belize,"4,861",+78,90 ,+2,"2,598",+34,"2,173",4
Guyana,"4,823",,139 ,,"3,777",,907,9
Martinique,"4,732",,37 ,,98,,"4,597",16
Aruba,"4,662",,44 ,,"4,534",,84,4
Somalia,"4,301",,107 ,,"3,330",,864,
Uruguay,"4,030",,65 ,,"3,233",,732,10
Mali,"3,900",,141 ,,"2,949",,810,
Thailand,"3,875",+1,60 ,,"3,721",+6,94,1
Gambia,"3,702",,122 ,,"3,571",,9,
South Sudan,"3,003",,59 ,,"1,290",,"1,654",
Benin,"2,884",+40,43 ,,"2,579",+64,262,
Togo,"2,675",,61 ,,"1,920",,694,
Burkina Faso,"2,641",,68 ,,"2,445",,128,
Guinea-Bissau,"2,419",,43 ,,"2,255",,121,5
Sierra Leone,"2,391",,74 ,,"1,820",,497,
Yemen,"2,078",+6,605 ,,"1,406",+12,67,
Lesotho,"2,041",,44 ,,"1,056",,941,
New Zealand,"2,001",,25 ,,"1,918",,58,
Chad,"1,603",+6,101 ,,"1,448",+5,54,
Liberia,"1,507",,82 ,,"1,314",,111,2
Curaçao,"1,340",,2 ,,928,,410,1
Niger,"1,307",,70 ,,"1,148",,89,9
San Marino,"1,290",+37,42 ,,920,+32,328,2
